galaxy,npts,chi2,chi2_dof_like,median_abs_pull,p90_abs_pull,mean_pull,vobs_mean,vpred_mean,vpred_vobs_ratio,gbar_mean_si,gcos_mean_si,slope_mean,eta_linear,eta_amp,eta_g1,eta_vt,eta_s,A_eff,g1_eff,T,T_label,Vflat,SBeff,Q,xV,xS,xT,zV,zS,zT,uS
UGCA444_rotmod,36,4.348197975556011,0.12423422787302889,0.23801965309310424,0.5262851031921851,0.25301584048599624,26.235555555555557,25.27368390652923,0.9633370962170212,4.082222653299451e-12,1.2065026671271245e-11,-0.3260849450659381,-1.1098843736969277,0.0,-1.8573063318279202,-2.412064546784329,0.5547582149564086,0.8081667096497664,6.51007492095054e-12,10.0,Im,37.0,11.94,2.0,-0.9942522733438669,-2.1252760780236355,-1.0,-1.4959765804219856,-0.613873785874368,-0.5454545454545455,-0.9999780998911175
F571-V1_rotmod,7,1.7279584462601703,0.287993074376695,0.3741295987128647,0.7047178396248169,-0.36916161995410063,69.74285714285715,72.64031442639363,1.0415448606815965,5.178284272769192e-12,1.9710400539265618e-11,-0.7247133075785577,-0.22903256824463708,0.0,-0.12057355977199646,-0.675330434913294,0.5547568751412976,0.8081667096497664,3.696914836357261e-11,7.0,Sd,83.6,15.3,2.0,-0.17912666589743548,-1.8773173575897015,0.0,-0.26951841529152687,-0.5320436416013651,0.0,-0.9999500163469208
NGC3949_rotmod,7,2.0963222101917105,0.34938703503195173,0.5166662299006564,0.707412335615738,0.3817709055560818,153.14285714285714,149.09532099728807,0.9735701930793065,1.6080819726978728e-10,2.727581412890934e-11,-1.2199688932422055,0.46332839901917977,0.0,0.7465748146734265,1.2983791820143689,-0.5518043673409424,0.8081667096497664,8.799078659827625e-11,4.0,Sbc,163.0,1058.84,2.0,0.4885800148186709,2.3597590622685636,1.0,0.7351295837351046,0.8662559387722184,0.5454545454545455,0.941617226925559
NGC3521_rotmod,41,21.90618062600541,0.5476545156501352,0.28335788474888796,1.1470137600861705,0.49620472055945547,207.4390243902439,203.04506231559952,0.9788180546666173,4.3020268315814825e-10,3.3013659500266436e-11,-1.42186811008108,0.8096044719053882,0.0,1.4535969182350588,2.0081160275887626,-0.554519109353704,0.8081667096497664,1.7844032200449983e-10,4.0,Sbc,213.7,2232.7,1.0,0.7594029763370106,3.1057967084163,1.0,1.1426165151045233,1.1124596944236615,0.5454545454545455,0.994990730204571
UGC01281_rotmod,25,15.356474438957441,0.6398531016232267,0.6309174169617394,1.270035386486269,0.41543166269896853,34.4312,32.56912654358596,0.945919007864552,3.766480317154e-12,1.3812038201042538e-11,56.19330575901385,-0.7059662866166516,0.0,-1.2696659374440613,-1.8244234933989145,0.5547575559548531,0.8081667096497664,1.1716420965401306e-11,8.0,Sdm,55.2,13.83,1.0,-0.5942072327050416,-1.9783300403114246,-0.3333333333333333,-0.8940589102748392,-0.5653793612971926,-0.18181818181818182,-0.999964286523044
UGC05918_rotmod,8,6.0875656053026646,0.869652229328952,0.7517961509859353,1.3476308618537283,-0.08102963143428288,35.2875,35.60594645153673,1.009024341524243,2.77199040438011e-12,1.4694363122218354e-11,0.019680189185935254,0.1613733170893268,0.0,1.0347200773443959,0.479960890300127,0.5547591870442687,0.8081667096497664,1.1737540334728576e-10,10.0,Im,0.0,5.36,2.0,0.0,-2.926206210905381,-1.0,0.0,-0.8781928959730635,-0.5454545454545455,-0.999998476564293
F583-4_rotmod,12,10.68410131835225,0.9712819380320227,0.9180374980971002,1.2682948233345575,-0.7894713348264405,51.23333333333334,54.98740111676298,1.0732739320122897,6.2539000514005164e-12,2.182073607771444e-11,-1.8626821272032392,-0.10758221139288454,0.0,0.23323991209857164,-0.3215072225874016,0.5547471346859733,0.8081667096497664,5.266216197999109e-11,5.0,Sc,0.0,24.94,1.0,0.0,-1.388697245736201,0.6666666666666666,0.0,-0.3707915824776124,0.36363636363636365,-0.9997458956573743
UGC06923_rotmod,6,6.0528927903802385,1.2105785580760478,0.9447483025752705,1.4088063859552036,-0.8507872443666996,67.7,72.62740131598734,1.0727828850219696,2.6825347533928702e-11,3.382807652058404e-11,-0.7720106554537551,-0.13034860890198688,0.0,0.15873076373502115,-0.38884605391208493,0.5475768176471061,0.8081667096497664,4.888096516704702e-11,10.0,Im,79.6,166.28,2.0,-0.22815609313775412,0.5085029283963454,-1.0,-0.3432893051043713,0.2553132937386561,-0.5454545454545455,-0.8688593377670201
NGC7793_rotmod,46,54.61115616614529,1.213581248136562,0.8571841242613556,1.5480163973188477,0.4025765811220524,74.45652173913044,71.71325045946053,0.9631560645650172,7.24021757972848e-11,3.4480730377767287e-11,-0.6691917108374086,0.0,0.0,0.5284177311000491,0.0,0.5284177311000491,0.8081667096497664,7.074451646161926e-11,7.0,Sd,0.0,233.79,1.0,0.0,0.8492530905354878,0.0,0.0,0.3677660232901641,0.0,-0.6418950432032872
UGC07261_rotmod,7,7.654236698727996,1.2757061164546661,0.6340028304158807,1.7373554440339207,0.6084976862174429,67.2,63.75590309600927,0.9487485579763284,1.3321795387411586e-11,2.5823281003748283e-11,-0.8433761703835365,-0.3191658239216252,0.0,-0.37155256911606493,-0.9262573800868192,0.5547048109707543,0.8081667096497664,2.8763428241230686e-11,8.0,Sdm,74.7,39.16,2.0,-0.29169009384931976,-0.9375143683257818,-0.3333333333333333,-0.4388841351824153,-0.22189437939723014,-0.18181818181818182,-0.9988599128704952
UGC06399_rotmod,9,10.429014900495964,1.3036268625619956,0.8902585652000774,1.5904887506241439,0.7653217248778964,68.75555555555556,65.5109309384152,0.9528092735063619,9.178633285886507e-12,2.6225024210779527e-11,-0.47364785519432295,-0.10021559260664495,0.0,0.25509040623947576,-0.29964432302272725,0.554734729262203,0.8081667096497664,5.3825519928639066e-11,9.0,Sm,85.0,30.82,1.0,-0.16251892949777494,-1.1770063560961215,-0.6666666666666666,-0.24453000402628935,-0.3009303732803198,-0.36363636363636365,-0.9994860466989134
UGC06917_rotmod,11,14.26073451528995,1.426073451528995,0.5440247688335085,1.8437796161379083,0.5042049933298283,94.17272727272729,92.10922740321635,0.978088137306091,1.6369281309979678e-11,3.4896928783149705e-11,-0.6219595996143771,0.21424564457557632,0.0,1.1876894521692272,0.6330800683490398,0.5546093838201873,0.8081667096497664,1.3677630057176523e-10,9.0,Sm,108.7,53.07,1.0,0.08342160813907236,-0.6335583891482879,-0.6666666666666666,0.12551821647586095,-0.12158428913217215,-0.36363636363636365,-0.9968679503287996
