galaxy,npts,chi2,chi2_dof_like,median_abs_pull,p90_abs_pull,mean_pull,vobs_mean,vpred_mean,vpred_vobs_ratio,gbar_mean_si,gcos_mean_si,slope_mean,eta_linear,eta_amp,eta_g1,eta_vt,eta_s,A_eff,g1_eff,T,T_label,Vflat,SBeff,Q,xV,xS,xT,zV,zS,zT,uS
F583-4_rotmod,12,2.960711874208228,0.2691556249280207,0.21199014550116418,0.8693314274065261,0.3726620545339301,51.23333333333334,49.52342531958146,0.9666250875650252,4.5619309860464186e-12,1.8130399125317996e-11,-1.6721726152929122,-0.018043506074323288,-0.05412464459767809,-0.006487006859676202,-0.05412464459767809,-0.022891111132152968,0.7890751619640526,2.1870137496885484e-10,5.0,Sc,0.0,24.94,1.0,0.0,-1.388697245736201,0.6666666666666666,0.0,-0.3707915824776124,0.36363636363636365,0.7505902267076786
F571-V1_rotmod,7,1.9629122291899144,0.32715203819831906,0.42510427714844684,0.8076419806517615,0.3175592586938312,69.74285714285715,67.89449660273968,0.9734974932797578,4.2967428450656925e-12,1.7204179478821725e-11,-0.6234918363560649,-0.028562765722687067,-0.08566500236343429,-0.0517097545505348,-0.08566500236343429,-0.016316370586630144,0.7645758387101758,2.090313972965053e-10,7.0,Sd,83.6,15.3,2.0,-0.17912666589743548,-1.8773173575897015,0.0,-0.26951841529152687,-0.5320436416013651,0.0,0.3561739200489361
UGCA444_rotmod,36,11.58897382876296,0.331113537964656,0.41679769298290914,0.872657723123503,0.27045600471311027,26.235555555555557,24.965599442947585,0.9515940834598012,3.985415198477058e-12,1.1876297097633482e-11,-0.28452394640098916,-0.1314739210295131,-0.39216478862922016,-0.38389481748113913,-0.39216478862922016,-0.0039739340067949025,0.5627420961204318,1.4994962495383871e-10,10.0,Im,37.0,11.94,2.0,-0.9942522733438669,-2.1252760780236355,-1.0,-1.4959765804219856,-0.613873785874368,-0.5454545454545455,0.06699841149816577
NGC5005_rotmod,18,6.957831347621413,0.40928419691890666,0.3216988254533858,0.9239055076578447,-0.32165770211124983,252.27777777777777,258.20169783572817,1.0234817355303032,6.481282676796055e-10,9.92846859373514e-11,-1.2760930695433972,0.12664003971104623,0.37790204930271765,0.4294565856828545,0.37790204930271765,-0.024773281751183575,1.2154726257468418,3.3820452201786384e-10,4.0,Sbc,262.2,1789.91,1.0,0.9639373853415081,2.8847504322530524,1.0,1.4503640495729266,1.039511065564012,0.5454545454545455,0.9999923609938441
NGC3893_rotmod,10,5.443133153716237,0.6047925726351374,0.5890626770554053,1.0876133444567933,0.4434113234457203,178.6,175.98423353548736,0.9853540511505452,7.929649187993837e-11,7.11075105408027e-11,-1.5875022210904826,0.07027662564425205,0.2104834787460761,0.26203798026244723,0.2104834787460761,-0.02477326499824675,1.0281020401797472,2.860687600829327e-10,5.0,Sc,174.0,1573.37,1.0,0.5538851132264376,2.7558049087365863,0.6666666666666666,0.8333892512454487,0.9969570841019176,0.36363636363636365,0.9999895050169368
NGC3949_rotmod,7,3.822958743282338,0.6371597905470564,0.17297261903491057,1.2524965984253542,-0.3898527417014798,153.14285714285714,155.3379463158604,1.0143336046744615,1.1461166937013368e-10,8.781474472812522e-11,-1.1665971980984564,0.050841603220464875,0.15239352653492272,0.2039478163137249,0.15239352653492272,-0.024773163252894716,0.9700811713041515,2.699244318657225e-10,4.0,Sbc,163.0,1058.84,2.0,0.4885800148186709,2.3597590622685636,1.0,0.7351295837351046,0.8662559387722184,0.5454545454545455,0.9999721601727718
NGC7793_rotmod,46,41.29628388247256,0.9176951973882791,0.7968626364983034,1.515554468737966,0.4144157755638576,74.45652173913044,71.41709319665419,0.9591784779696622,5.1618337301328315e-11,5.874477235310979e-11,-0.6316410003274074,0.0,0.0,0.05154058790660938,0.0,-0.024766579150618077,0.8329605009523231,2.3176752211931816e-10,7.0,Sd,0.0,233.79,1.0,0.0,0.8492530905354878,0.0,0.0,0.3677660232901641,0.0,0.9988509012084098
NGC3769_rotmod,12,10.432170796696408,0.9483791633360371,0.5238060045055539,1.533150405287067,-0.5226499630372935,115.875,119.8546593502649,1.0343444172622644,2.62916256808899e-11,3.475617955070266e-11,-2.5735192676089595,-0.008886056252840977,-0.026657467119948153,0.02489592390469899,-0.026657467119948153,-0.024772731378389163,0.8110492308023034,2.2567369881858345e-10,3.0,Sb,118.6,626.37,2.0,0.17058630057553367,1.8347710648213025,1.3333333333333333,0.25666837023521105,0.6930019249689391,0.7272727272727273,0.9998985432365369
DDO064_rotmod,14,12.330534054503469,0.9485026195771898,0.7669098888630024,1.4539959264179345,0.7750622366301309,32.535,28.872190851090647,0.8874194206574658,5.156739141151862e-12,1.4594932700295267e-11,0.6007190321968086,-0.09641040659305752,-0.2883384075965593,-0.24816133768736842,-0.2883384075965593,-0.01930611625441492,0.6243104843037853,1.7174878963765985e-10,10.0,Im,46.1,17.41,1.0,-0.7743572359854884,-1.7481254322079938,-1.0,-1.1651170643227147,-0.48940834378085984,-0.5454545454545455,0.4866155187470992
UGC06923_rotmod,6,4.878749995725075,0.9757499991450149,0.480963339497884,1.4510635411116943,-0.4114571371510229,67.7,70.65510540316025,1.0436500059550997,2.0308961431681008e-11,3.845209880843927e-11,-0.6733395568867934,-0.009315527656625966,-0.027945774605245804,0.02357632995708652,-0.027945774605245804,-0.02475769742792925,0.810005022782246,2.2537609757107473e-10,10.0,Im,79.6,166.28,2.0,-0.22815609313775412,0.5085029283963454,-1.0,-0.3432893051043713,0.2553132937386561,-0.5454545454545455,0.9973419520677809
